변환,원자료
2024-07-01,"1,383.80"
2024-07-02,"1,386.90"
2024-07-03,"1,385.80"
2024-07-04,"1,381.00"
2024-07-05,"1,381.40"
2024-07-08,"1,383.10"
2024-07-09,"1,383.50"
2024-07-10,"1,384.00"
2024-07-11,"1,373.00"
2024-07-12,"1,375.70"
2024-07-15,"1,383.20"
2024-07-16,"1,385.00"
2024-07-17,"1,381.30"
2024-07-18,"1,383.40"
2024-07-19,"1,390.20"
2024-07-22,"1,388.20"
2024-07-23,"1,386.10"
2024-07-24,"1,379.90"
2024-07-25,"1,383.00"
2024-07-26,"1,384.00"
2024-07-29,"1,383.70"
2024-07-30,"1,384.60"
2024-07-31,"1,370.20"
2024-08-01,"1,369.80"
2024-08-02,"1,361.50"
2024-08-05,"1,370.00"
2024-08-06,"1,377.60"
2024-08-07,"1,374.00"
2024-08-08,"1,377.20"
2024-08-09,"1,365.30"
2024-08-12,"1,369.60"
2024-08-13,"1,366.50"
2024-08-14,"1,358.00"
2024-08-16,"1,351.30"
2024-08-19,"1,334.80"
2024-08-20,"1,331.50"
2024-08-21,"1,333.80"
2024-08-22,"1,343.50"
2024-08-23,"1,328.00"
2024-08-26,"1,329.80"
2024-08-27,"1,331.50"
2024-08-28,"1,337.00"
2024-08-29,"1,332.50"
2024-08-30,"1,337.50"
2024-09-02,"1,338.50"
2024-09-03,"1,341.40"
2024-09-04,"1,336.00"
2024-09-05,"1,333.50"
2024-09-06,"1,339.90"
2024-09-09,"1,341.00"
2024-09-10,"1,343.80"
2024-09-11,"1,341.50"
2024-09-12,"1,341.60"
2024-09-13,"1,329.60"
2024-09-19,"1,329.20"
2024-09-20,"1,333.00"
2024-09-23,"1,334.80"
2024-09-24,"1,330.40"
2024-09-25,"1,336.10"
2024-09-26,"1,317.40"
2024-09-27,"1,310.10"
2024-09-30,"1,316.80"
2024-10-02,"1,324.40"
2024-10-04,"1,349.50"
2024-10-07,"1,344.50"
2024-10-08,"1,346.00"
2024-10-10,"1,355.20"
2024-10-11,"1,351.30"
2024-10-14,"1,358.50"
2024-10-15,"1,366.30"
2024-10-16,"1,364.50"
2024-10-17,"1,372.70"
2024-10-18,"1,369.30"
2024-10-21,"1,378.80"
2024-10-22,"1,379.60"
2024-10-23,"1,381.60"
2024-10-24,"1,382.30"
2024-10-25,"1,389.20"
2024-10-28,"1,385.70"
2024-10-29,"1,382.20"
2024-10-30,"1,379.80"
2024-10-31,"1,377.00"
2024-11-01,"1,378.00"
2024-11-04,"1,375.50"
